                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.70483,                0.57881,                0.99226,                0.93949,                0.93636,                0.96672,                0.70211,                 1.0824,                0.70549,                  1.055,             0.00047038,             0.00047038,             0.00047038
                     66,                0.71617,                 0.5706,                0.98318,                0.91448,                0.92715,                0.94447,                0.66479,                 1.1157,                0.78317,                 1.0922,               0.000458,               0.000458,               0.000458
                     67,                0.70708,                0.57268,                0.95728,                 0.9278,                 0.9041,                0.91567,                0.68225,                 1.0649,                0.76607,                 1.0925,             0.00044563,             0.00044563,             0.00044563
                     68,                0.68892,                 0.5801,                0.99252,                0.90918,                0.88965,                0.92512,                0.70004,                 1.0892,                0.76343,                    1.1,             0.00043325,             0.00043325,             0.00043325
                     69,                0.68025,                0.55559,                0.97144,                0.86243,                0.91207,                0.93862,                0.70746,                 1.0695,                0.74946,                 1.0831,             0.00042087,             0.00042087,             0.00042087
                     70,                0.67418,                0.55021,                0.97321,                0.94338,                0.87699,                0.93876,                 0.7122,                   1.05,                0.72702,                 1.0606,              0.0004085,              0.0004085,              0.0004085
                     71,                0.66952,                0.53637,                0.95259,                0.89421,                0.92919,                0.93921,                  0.726,                  1.045,                  0.714,                 1.0428,             0.00039613,             0.00039613,             0.00039613
                     72,                 0.7113,                0.56299,                0.97718,                 0.9049,                0.91591,                0.93339,                0.71954,                 1.0563,                0.69562,                 1.0551,             0.00038375,             0.00038375,             0.00038375
                     73,                0.67253,                0.55999,                0.97257,                0.88422,                0.92786,                0.93234,                0.71287,                 1.0421,                0.70974,                 1.0768,             0.00037138,             0.00037138,             0.00037138
                     74,                0.63478,                0.51211,                0.93728,                0.89913,                0.92284,                0.93362,                0.72723,                  1.016,                 0.7114,                   1.06,               0.000359,               0.000359,               0.000359
                     75,                0.65237,                0.53243,                0.95717,                0.92263,                 0.9089,                0.95158,                0.71509,                 1.0067,                0.70757,                 1.0271,             0.00034663,             0.00034663,             0.00034663
                     76,                0.62964,                 0.5251,                0.95497,                0.93924,                0.89848,                0.94288,                0.69908,                 1.0024,                 0.7035,                 1.0218,             0.00033425,             0.00033425,             0.00033425
                     77,                0.67565,                0.54216,                0.97229,                0.89955,                0.88656,                0.91769,                0.68374,                 1.0362,                0.73616,                 1.0461,             0.00032188,             0.00032188,             0.00032188
                     78,                0.64012,                0.52359,                0.96179,                0.92859,                0.90978,                0.94498,                0.68049,                 1.0652,                 0.7117,                  1.048,              0.0003095,              0.0003095,              0.0003095
                     79,                0.64388,                 0.5206,                0.95716,                0.91588,                0.93585,                0.95017,                 0.7109,                 1.0477,                0.65854,                 1.0381,             0.00029713,             0.00029713,             0.00029713
                     80,                 0.6336,                0.51845,                0.94266,                0.93645,                0.92183,                0.96026,                0.75378,                0.96809,                0.65394,                 1.0132,             0.00028475,             0.00028475,             0.00028475
                     81,                0.60961,                0.51643,                0.94923,                0.90747,                0.94394,                0.96108,                0.74036,                 1.0097,                 0.6698,                 1.0212,             0.00027237,             0.00027237,             0.00027237
                     82,                0.65122,                0.52394,                0.96061,                 0.9315,                0.92121,                0.95477,                0.71428,                 1.0226,                0.66892,                 1.0456,                0.00026,                0.00026,                0.00026
                     83,                0.62883,                0.50401,                0.95124,                0.92298,                0.92121,                0.93915,                 0.7116,                  1.028,                0.65367,                 1.0527,             0.00024762,             0.00024762,             0.00024762
                     84,                0.62753,                0.51656,                 0.9589,                0.90769,                 0.9214,                0.94176,                0.70578,                 1.0408,                0.66532,                 1.0617,             0.00023525,             0.00023525,             0.00023525
                     85,                0.61191,                0.49714,                0.93641,                0.92062,                0.92464,                0.93497,                0.68894,                 1.0542,                0.66761,                 1.0693,             0.00022288,             0.00022288,             0.00022288
                     86,                 0.5847,                0.47699,                0.92957,                0.92469,                0.95731,                0.95575,                0.71433,                 1.0211,                0.65847,                 1.0574,              0.0002105,              0.0002105,              0.0002105
                     87,                0.58843,                0.48496,                0.93469,                0.93366,                0.95287,                0.95781,                0.71839,                0.99215,                0.68023,                 1.0427,             0.00019813,             0.00019813,             0.00019813
                     88,                 0.5945,                0.47741,                 0.9234,                0.93373,                0.93122,                0.95145,                0.71589,                 1.0046,                0.70288,                 1.0512,             0.00018575,             0.00018575,             0.00018575
                     89,                 0.6036,                0.47753,                0.93109,                0.94226,                 0.9236,                0.95351,                0.72844,                 1.0129,                0.69669,                  1.055,             0.00017338,             0.00017338,             0.00017338
                     90,                0.57505,                0.47246,                0.91846,                0.94595,                0.92382,                 0.9487,                0.72018,                 1.0064,                0.71275,                 1.0485,               0.000161,               0.000161,               0.000161
                     91,                0.61749,                0.53409,                0.96446,                0.94073,                0.92408,                0.95046,                0.71237,                  1.019,                 0.7192,                 1.0534,             0.00014862,             0.00014862,             0.00014862
                     92,                0.62878,                0.52694,                0.95287,                0.92518,                0.92787,                0.93574,                0.70743,                   1.02,                0.65976,                 1.0465,             0.00013625,             0.00013625,             0.00013625
                     93,                0.61655,                0.49052,                0.94268,                0.93092,                0.93258,                0.93266,                0.69922,                 1.0355,                0.66801,                 1.0583,             0.00012387,             0.00012387,             0.00012387
                     94,                0.58802,                0.49576,                0.94164,                0.92388,                0.92121,                0.90863,                  0.703,                 1.0329,                0.64289,                 1.0723,              0.0001115,              0.0001115,              0.0001115
                     95,                0.58882,                0.49068,                0.94191,                0.92305,                0.91793,                0.91385,                0.71172,                 1.0186,                0.64075,                 1.0653,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.58361,                0.48328,                0.94431,                0.92077,                0.92703,                0.92786,                0.72714,                 1.0017,                0.63232,                  1.055,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.62914,                0.52242,                0.96446,                0.92148,                0.92121,                0.92724,                0.72983,                0.98001,                0.62381,                 1.0358,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.59401,                0.49195,                0.93828,                0.93159,                 0.9375,                0.93337,                0.73268,                0.98113,                0.61995,                 1.0362,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.57596,                 0.4736,                0.93226,                0.92054,                0.93258,                0.92317,                0.72462,                0.98647,                0.62516,                 1.0362,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.55552,                0.45974,                0.90955,                0.92008,                0.93213,                0.92385,                 0.7274,                0.98742,                0.61986,                 1.0333,              3.725e-05,              3.725e-05,              3.725e-05
